"","lh_superiorparietal_lh_precentral","Left_Putamen_lh_precentral","rh_superiorparietal_rh_precentral","lh_precentral_rh_precentral","Right_Putamen_rh_precentral","lh_precentral_lh_postcentral","lh_superiorparietal_lh_postcentral","rh_precentral_rh_postcentral","rh_superiorparietal_rh_postcentral","Left_Thalamus_Proper_lh_superiorparietal","lh_superiorparietal_rh_superiorparietal","Right_Caudate_rh_superiorparietal","Left_Caudate_Left_Thalamus_Proper","Left_Pallidum_Left_Thalamus_Proper","Left_Pallidum_Left_Putamen","Right_Pallidum_Right_Putamen","Right_Pallidum_Right_Caudate","Left_Thalamus_Proper_Right_Caudate","Left_Caudate_Right_Caudate"
"55148",0.161801166258982,0.204984739594239,0.112014563962234,0.00185121102238877,0.101022939413807,0.0431909878564337,0.0342160110229447,0.00638961684441349,0.00727224914684235,0.11668460302093,0.00206428294080987,0.108575720211697,0.00815558634988748,0.00900733545352068,0.00449744978424173,0.00263374081926042,0.0196797843962926,0.0317835124371646,0.0195190144368545
"55471",0.135036356291507,0.0872798162275999,0.103362931796586,0,0.0690001326903413,0.018140035570316,0.0186493432731544,0.0120532793583468,0.0159371004929541,0.102577637914588,0.000100335060386517,0.11485087473827,0.00711952969810807,0.00137540329842853,0.000500535026189617,0.00349389488885595,0.0538939254746173,0.045434216633527,0.0407083619777365
"55636",0.159223354992033,0.137598503488406,0.0949530342918319,0.0027199569968299,0.0938818652107884,0.0117911146051633,0.0169226100505884,0.00487421358963287,0.00728328210428182,0.170660049191524,0.000489310827803859,0.105215911551545,0.0133400325176241,0.00466830783194384,0.00122161364874609,0.00465207702454025,0.0197121963935611,0.0149229649982278,0.0209656365191128
"56423",0.28672314011482,0.28661483561442,0.30950093265913,0.0027293559565497,0.322256432426696,0.0433647168330859,0.0273486255116504,0.0339164736009502,0.0336313063303878,0.267188996248467,0.000556375317058522,0.395104936029556,0.0144482815527657,0.0248574008175177,0.0174718901669019,0.0208549589537263,0.061962421384845,0.0889649060259444,0.0842966596096332
"56779",0.214733038554447,0.231638152317952,0.233217178780765,0,0.190065496292675,0.0262874042833294,0.0249296353548675,0.0323559512752648,0.0518556521213608,0.369727901081049,0.00724365091172573,0.272589417001233,0.00545272010273646,0.000980372582537432,0.000874613955911498,0.00212567294070729,0.00371696254219817,0.0825393783569769,0.0345967742753056
"56837",0.243668526514482,0.492332301429433,0.112596450507019,0.00136499589487175,0.237804252855916,0.0385768554545859,0.0258608876844482,0.0249864172991717,0.0121941213770527,0.277370434982709,0.00053913887865524,0.278065563872236,0.0131713511491328,0.0341095012264669,0.0202191541380363,0.0107153066154723,0.024663982742159,0.0600162957267976,0.0336950352801105
"57207",0.158481374059226,0.16966482632382,0.156737853951668,0,0.158981372053232,0.0165868591409171,0.0616746145941451,0.0146565522725147,0.0191622820651589,0.129216315487133,0.000194856619118654,0.188656875281653,0.0110066435079079,0.00485965778737384,0.00820367961535377,0.0156702340211449,0.0216561757498062,0.0225967335654358,0.00625860837574422
"57407",0.190080584192753,0.182313977316393,0.0839206511023749,0.00111755755508919,0.0816614688496838,0.0211169579686441,0.114923463796958,0.00952129717661553,0.0206512860491517,0.155724805280058,0.000248893170654856,0.144442729899727,0.0200233995245163,0.00322168325388778,0.00126681720222334,0.00125827741543193,0.0155105619866158,0.0239821185229475,0.0187702676451927
"57625",0.0930424003521113,0.0849697924883386,0.0280114449349848,0,0.0927010324180535,0.00524750510592422,0.0164825650949271,0.00343071234067759,0.00266926586675891,0.12090604758087,0.00015796629887171,0.068507350535504,0.0133868997828095,0.00173045793975121,0.00127272014207977,0.00199858083936526,0.0185712653816528,0.00547894676286463,0.00452661038191397
"57627",0.114145525822983,0.13104812884393,0.0924071478632263,0,0.145186678174385,0.0101041507177555,0.0246710067881437,0.0154679998590048,0.00653183379628859,0.132818476068927,0.000258470282598397,0.186689843245196,0.00330426466184539,0.000437876975901715,0.00072853049278236,0.000750670020267621,0.00764244175989398,0.083392131583666,0.0234515566147434
"57698",0.125450911166431,0.0670771884922774,0.0311479879261137,0,0.061626983824361,0.0117642344332226,0.0430085693665449,0.00556071199323781,0.00490420303828127,0.151121052367932,4.5770303206287e-05,0.109953337975728,0.0163564940703492,0.00556198473018276,0.000339421772372678,0.00212609489855734,0.00895546754406577,0.00490603926562222,0.0036241480514722
"57704",0.179058389177313,0.207683159691972,0.149295908439327,0,0.136672580657123,0.045614309173413,0.0388363417036305,0.0260252979872765,0.0354785543551037,0.0815641148390982,0.000158447297463402,0.0983065098145493,0.00834312137410521,0.00808548527926194,0.00305424432071017,0.00466487660083388,0.0142452472246031,0.0781910722741667,0.0264996446641093
"57732",0.120140094654003,0.131059439905356,0.10713279950493,0,0.0811207985373159,0.0285034372054591,0.0141035661312792,0.0151166293191373,0.0082129122612577,0.171010492771698,0.000222996995425986,0.190922452042294,0.0185903413184431,0.00317931691480487,0.000926126504433173,0.00257212357350679,0.0350759970458424,0.00495769299829786,0.0151322477471253
"57957",0.0653631665004778,0.0395015430807701,0.0690686343823399,0,0.159899459864312,0.0200492382446912,0.0188292877717813,0.0145233460368721,0.00556327986023043,0.0518568233743689,0,0.0674065280429082,0.000915429681063599,0.000352326973146219,5.33229559886032e-05,0.00279306469121304,0.0133131574302284,0.024396468753895,0.00913013275013092
"58052",0.117644978793681,0.134715029584809,0.198831997166677,0,0.173495484671341,0.0456020971845303,0.0222988332825306,0.0177586303128581,0.0234926716161262,0.150050386602453,8.3672968916275e-05,0.292174484769571,0.0160137295395978,0.0310425475810314,0.00584162134443991,0.00461163239244996,0.0230142079253332,0.114967910016089,0.0135310122308069
"58131",0.0213205202861581,0.0375400074926596,0.0369998608088824,0,0.063176043481707,0.00237190482205194,0.00300801957234779,0.00624692001843991,0.00378023754393899,0.0404637251413094,0,0.0376849079011691,0.00957507614760973,0.00695702217963296,0.00110413116500871,0.000997361020624394,0.0142379519143402,0.00478358876715333,0.0193224259135001
"70967",0.107242254714246,0.122304199127122,0.247724595597865,0,0.104288612013133,0.0363684531512602,0.017098859249673,0.0209026145333029,0.0636920184690155,0.246417303036916,0.000109505362066319,0.323180734142123,0.0109543509644081,0.00153412609979859,0.000454382748764598,0.00133959011952967,0.0104945211586274,0.00732202014729126,0.0346432038886578
